Name of Membranes,Type of Membranes,NAME of TrOCs,SMILEs,Pure water flux (L·m-2·h-1),Pressure (bar),pH,Temperature (oC),Filtration duration (h),TrOC concentration (mg/L),MW (Da),MWCO (Da),Min projection (nm),Max projection (nm),Molecular radius (nm),Pore radius (nm),pKa1 ,Zeta potential (mV),log Kow,Contact angle (°),Molecular charge,Charge product,log D ,TrOC Rejection (%),Reference
NF90,NF,Benzylparaben,Oc1ccc(cc1)C(=O)OCc2ccccc2,56.33802816901409,8.0,7.0,20.0,12.0,0.2,228.246999999999,180,0.411,0.693,0.3332865116555292,0.34,8.2,-27.29,3.56,64.0,-0.05935094310276767,1.619687237274529,3.56,33.0,A highly selective surface coating for enhanced membrane rejection ofendocrine disrupting compounds: Mechanistic insights andimplications
NF90,NF,Propylparaben,CCCOC(=O)c1ccc(O)cc1,56.33802816901409,8.0,7.0,20.0,12.0,0.2,180.202999999999,180,0.392,0.62,0.3147609105910112,0.34,8.5,-27.29,3.04,64.0,-0.0306534300317155,0.8365321055655159,3.04,49.0,A highly selective surface coating for enhanced membrane rejection ofendocrine disrupting compounds: Mechanistic insights andimplications
NF90,NF,Ethylparaben,CCOC(=O)c1ccc(O)cc1,56.33802816901409,8.0,7.0,20.0,12.0,0.2,166.176,180,0.402,0.576,0.2668263877613856,0.34,8.34,-27.29,2.47,64.0,-0.04371084773568398,1.192869034706816,2.47,50.0,A highly selective surface coating for enhanced membrane rejection ofendocrine disrupting compounds: Mechanistic insights andimplications
NF90,NF,Bisphenol A,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,56.33802816901409,8.0,7.0,20.0,12.0,0.2,228.291,180,0.453,0.562,0.3381552020183159,0.34,9.6,-27.29,3.32,64.0,-0.002505592667285735,0.06837762389022771,3.32,97.0,A highly selective surface coating for enhanced membrane rejection ofendocrine disrupting compounds: Mechanistic insights andimplications
NF270,NF,Benzylparaben,Oc1ccc(cc1)C(=O)OCc2ccccc2,134.0,10.0,7.0,20.0,12.0,0.2,228.246999999999,330,0.411,0.693,0.3332865116555292,0.42,8.2,-42.7,3.56,40.2,-0.05935094310276767,2.53428527048818,3.56,19.5489,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Ethylparaben,CCOC(=O)c1ccc(O)cc1,134.0,10.0,7.0,20.0,12.0,0.2,166.176,330,0.402,0.576,0.2668263877613856,0.42,8.34,-42.7,2.47,40.2,-0.04371084773568398,1.866453198313706,2.47,19.8496,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Propylparaben,CCCOC(=O)c1ccc(O)cc1,134.0,10.0,7.0,20.0,12.0,0.2,180.202999999999,330,0.392,0.62,0.3147609105910112,0.42,8.5,-42.7,3.04,40.2,-0.0306534300317155,1.308901462354252,3.04,21.203,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Methylparaben,COC(=O)c1ccc(O)cc1,134.0,10.0,7.0,20.0,12.0,0.2,152.149,330,0.339,0.5509999999999999,0.2754787664970557,0.42,8.5,-42.7,1.96,40.2,-0.0306534300317155,1.308901462354252,1.96,21.5038,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Sulfadiazine,Nc1ccc(cc1)[S](=O)(=O)Nc2ncccn2,134.0,10.0,7.0,20.0,12.0,0.2,250.283,330,0.453,0.612,0.3093115947296739,0.42,6.36,-42.7,-0.09,40.2,-0.8136122105055866,34.74124138858855,-0.09,81.6541,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Sulfamethoxazole,Cc1onc(N[S](=O)(=O)c2ccc(N)cc2)c1,134.0,10.0,7.0,20.0,12.0,0.2,253.283,330,0.54,0.588,0.3153427582941809,0.42,1.6,-42.7,0.89,40.2,-1.952265506856825,83.36173714278644,-0.2219804901159829,82.406,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Sulfamethazine,Cc1cc(C)nc(N[S](=O)(=O)c2ccc(N)cc2)n1,134.0,10.0,7.0,20.0,12.0,0.2,278.337,330,0.49,0.704,0.3369726188920903,0.42,2.65,-42.7,0.89,40.2,-0.9995563875055626,42.68105774648753,0.89,91.4286,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Norfloxacin,CCN1C=C(C(O)=O)C(=O)c2cc(F)c(cc12)N3CCNCC3,134.0,10.0,7.0,20.0,12.0,0.2,319.336,330,0.516,0.744,0.3854363846657497,0.42,6.34,-42.7,-1.03,40.2,0.8359071041684609,-35.69323334799329,-3.137803008127174,95.0376,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O,134.0,10.0,7.0,20.0,12.0,0.2,361.373,330,0.5269999999999999,0.82,0.3917959416357574,0.42,5.97,-42.7,-0.39,40.2,0.8891019191364646,-37.96465194712705,-2.024779808486416,95.188,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
SW30XLE,RO,Acetic acid,CC(O)=O,34.1,15.5,3.0,25.0,0.5,2000.0,60.052,96,0.275,0.327,0.1645091332997442,0.4031806108897714,4.76,-15.0,2.14,55.0,-0.01708117154679347,0.2562175732019021,2.096071680565682,78.4,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Propanoic Acid ,CCC(O)=O,34.1,15.5,3.0,25.0,0.5,2000.0,74.079,96,0.271,0.365,0.1923494989067949,0.4031806108897714,4.88,-15.0,0.33,55.0,-0.01301104836375208,0.1951657254562812,0.3059554321846757,91.03,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Butyric acid,CCCC(O)=O,34.1,15.5,3.0,25.0,0.5,2000.0,88.1059999999999,96,0.269,0.442,0.2181268562235432,0.4031806108897714,4.82,-15.0,0.79,55.0,-0.01490994138932863,0.2236491208399295,0.7620673564314462,96.5,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,4-Hydroxybenzoic Acid ,OC(=O)c1ccc(O)cc1,34.1,15.5,3.0,25.0,0.5,20.0,138.121999999999,96,0.363,0.505,0.2218143011323027,0.4031806108897714,4.54,-15.0,1.58,55.0,-0.02803186715169652,0.4204780072754478,1.52282481216321,98.3,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Cinnamic Acid,OC(=O)C=Cc1ccccc1,34.1,15.5,3.0,25.0,0.5,20.0,148.161,96,0.351,0.5589999999999999,0.2623450417673386,0.4031806108897714,4.34,-15.0,2.13,55.0,-0.04371084773568398,0.6556627160352596,2.043119789299707,98.6,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Thymol,CC(C)c1ccc(C)cc1O,34.1,15.5,3.0,25.0,0.5,20.0,150.220999999999,100,0.37,0.526,0.2981575116824355,0.4031806108897714,10.62,-33.0,3.3,55.0,-2.398832861475502e-08,7.916148442869157e-07,3.3,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Methanol,CO,34.1,15.5,7.0,25.0,0.5,2000.0,32.042,100,0.22,0.262,0.1314571764816764,0.4031806108897714,15.3,-15.0,-0.77,55.0,-5.011872311153847e-09,7.51780846673077e-08,-0.77,20.0,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Ethanol,CCO,34.1,15.5,7.0,25.0,0.5,2000.0,46.069,100,0.239,0.323,0.1660514265336832,0.4031806108897714,15.9,-15.0,-0.31,55.0,-1.258925410209269e-09,1.888388115313904e-08,-0.31,68.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Urea,NC(N)=O,34.1,15.5,7.0,25.0,0.5,2000.0,60.056,100,0.287,0.319,0.1427714850451199,0.4031806108897714,0.1,-15.0,-2.11,55.0,-0.9999998741074746,14.99999811161212,-3.735003100236046,73.8,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Boric Acid,OB(O)O,34.1,15.5,7.0,25.0,0.5,200.0,61.833,100,0.274,0.32,0.138377216963343,0.4031806108897714,9.24,-15.0,0.175,55.0,-0.005721475717090379,0.0858221357563557,0.175,83.5,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,"1,2-ethanediol",OCCO,34.1,15.5,7.0,25.0,0.5,2000.0,62.068,100,0.26,0.375,0.161491645492611,0.4031806108897714,15.1,-33.0,-1.36,55.0,-7.943282284147075e-09,2.621283153768535e-07,-1.36,85.6,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,1-Butanol ,CCCCO,34.1,15.5,7.0,25.0,0.5,2000.0,74.1229999999999,100,0.282,0.449,0.2174646504944923,0.4031806108897714,16.1,-33.0,0.88,55.0,-7.943282340933199e-10,2.621283172507956e-08,0.88,94.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,"1,3-Propandiol",OCCCO,34.1,15.5,7.0,25.0,0.5,2000.0,76.095,100,0.267,0.437,0.1901241173782564,0.4031806108897714,14.8,-33.0,-1.04,55.0,-1.584893167342244e-08,5.230147452229404e-07,-1.04,96.5,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,"1,4-Butanediol",OCCCCO,34.1,15.5,7.0,25.0,0.5,2000.0,90.122,100,0.27,0.503,0.2132670893313563,0.4031806108897714,14.5,-33.0,-0.83,55.0,-3.162277560168373e-08,1.043551594855563e-06,-0.83,98.0,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,"1,4-Dioxane",C1COCCO1,34.1,15.5,7.0,25.0,0.5,200.0,88.106,100,0.293,0.362,0.2083579725259492,0.4031806108897714,14.0,-33.0,-0.27,55.0,0.0,0.0,-0.27,98.4,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,"1,5-Pentanediol",OCCCCCO,34.1,15.5,7.0,25.0,0.5,2000.0,104.149,100,0.289,0.567,0.2358473440785226,0.4031806108897714,14.83,-33.0,-0.1,55.0,-1.479108366290587e-08,4.881057608758935e-07,-0.1,98.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Cinnamic Acid,OC(=O)C=Cc1ccccc1,34.1,15.5,7.0,25.0,0.5,20.0,148.161,100,0.351,0.5589999999999999,0.2623450417673386,0.4031806108897714,4.34,-33.0,2.13,55.0,-0.9978170142285467,32.92796146954204,0.1467268097675862,98.9,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Glycerol,OCC(O)CO,34.1,15.5,7.0,25.0,0.5,2000.0,92.094,100,0.301,0.438,0.1899123866414896,0.4031806108897714,14.4,-33.0,-1.76,55.0,-3.981071547045644e-08,1.313753610525063e-06,-1.76,99.2,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,4-Hydroxybenzoic Acid ,OC(=O)c1ccc(O)cc1,34.1,15.5,7.0,25.0,0.5,20.0,138.121999999999,100,0.363,0.505,0.2218143011323027,0.4031806108897714,4.54,-33.0,1.58,55.0,-0.9965446125969272,32.88597221569859,-0.4526018636087117,99.2,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Erythritol,OC[C@@H](O)[C@@H](O)CO,34.1,15.5,7.0,25.0,0.5,2000.0,122.119999999999,100,0.336,0.472,0.2077294751387896,0.4031806108897714,13.903,-33.0,-2.29,55.0,-1.250258873902973e-07,4.125854283879811e-06,-2.29,99.6,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Thymol,CC(C)c1ccc(C)cc1O,34.1,15.5,7.0,25.0,0.5,20.0,150.220999999999,100,0.37,0.526,0.2981575116824355,0.4031806108897714,10.62,-33.0,3.3,55.0,-0.0002398257617087477,0.007914250136388674,3.3,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Xylitol,OC[C@@H](O)[C@H](O)[C@@H](O)CO,34.1,15.5,7.0,25.0,0.5,2000.0,152.146,100,0.337,0.518,0.2463766830114021,0.4031806108897714,11.3,-33.0,-2.56,55.0,-5.011621160218179e-05,0.001653834982871999,-2.56,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Glucose,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,34.1,15.5,7.0,25.0,0.5,2000.0,180.156,100,0.401,0.481,0.2515616313767203,0.4031806108897714,12.45,-33.0,-3.24,55.0,-3.548121303126307e-06,0.0001170880030031681,-3.24,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
SW30XLE,RO,Mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,34.1,15.5,7.0,25.0,0.5,2000.0,182.172,100,0.354,0.5389999999999999,0.2556385612803581,0.4031806108897714,13.5,-33.0,-3.1,55.0,-3.162276660168689e-07,1.043551297855668e-05,-3.1,99.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Cinnamic Acid,OC(=O)C=Cc1ccccc1,47.902,8.6,3.0,25.0,0.5,20.0,148.161,96,0.351,0.5589999999999999,0.2623450417673386,0.3,4.34,-15.0,2.13,66.3,-0.04371084773568398,0.6556627160352596,2.043119789299707,94.4,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,4-Hydroxybenzoic Acid ,OC(=O)c1ccc(O)cc1,47.902,8.6,3.0,25.0,0.5,20.0,138.121999999999,96,0.363,0.505,0.2218143011323027,0.3,4.54,-15.0,1.58,66.3,-0.02803186715169652,0.4204780072754478,1.52282481216321,95.4,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Thymol,CC(C)c1ccc(C)cc1O,47.902,8.6,3.0,25.0,0.5,20.0,150.220999999999,100,0.37,0.526,0.2981575116824355,0.3,10.62,-33.0,3.3,66.3,-2.398832861475502e-08,7.916148442869157e-07,3.3,98.9,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Methanol,CO,47.902,8.6,7.0,25.0,0.5,2000.0,32.042,96,0.22,0.262,0.1314571764816764,0.3,15.3,-15.0,-0.77,65.0,-5.011872311153847e-09,7.51780846673077e-08,-0.77,21.0,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Ethanol,CCO,47.902,8.6,7.0,25.0,0.5,2000.0,46.069,96,0.239,0.323,0.1660514265336832,0.3,15.9,-15.0,-0.31,65.0,-1.258925410209269e-09,1.888388115313904e-08,-0.31,50.7,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Boric Acid,OB(O)O,47.902,8.6,7.0,25.0,0.5,200.0,61.833,96,0.274,0.32,0.138377216963343,0.3,9.24,-15.0,0.175,65.0,-0.005721475717090379,0.0858221357563557,0.175,69.3,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,1-Butanol ,CCCCO,47.902,8.6,7.0,25.0,0.5,2000.0,74.1229999999999,96,0.282,0.449,0.2174646504944923,0.3,16.1,-15.0,0.88,65.0,-7.943282340933199e-10,1.19149235113998e-08,0.88,87.8,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Isopropanol,CC(C)O,47.902,8.6,7.0,25.0,0.5,2000.0,60.096,96,0.295,0.336,0.1953570494677862,0.3,17.1,-15.0,0.05,65.0,-7.943282346611806e-11,1.191492351991771e-09,0.05,93.9,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,"1,4-Dioxane",C1COCCO1,47.902,8.6,7.0,25.0,0.5,200.0,88.106,96,0.293,0.362,0.2083579725259492,0.3,14.0,-15.0,-0.27,65.0,0.0,0.0,-0.27,96.5,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,2-Butanol,CCC(C)O,47.902,8.6,7.0,25.0,0.5,2000.0,74.1229999999999,96,0.299,0.397,0.2180305442040108,0.3,17.6,-15.0,0.61,65.0,-2.511886431446471e-11,3.767829647169706e-10,0.61,97.2,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Glycerol,OCC(O)CO,47.902,8.6,7.0,25.0,0.5,2000.0,92.094,96,0.301,0.438,0.1899123866414896,0.3,14.4,-15.0,-1.76,65.0,-3.981071547045644e-08,5.971607320568466e-07,-1.76,97.9,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Cinnamic Acid,OC(=O)C=Cc1ccccc1,47.902,8.6,7.0,25.0,0.5,20.0,148.161,100,0.351,0.5589999999999999,0.2623450417673386,0.3,4.34,-15.0,2.13,65.0,-0.9978170142285467,14.9672552134282,0.1467268097675862,99.0,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Thymol,CC(C)c1ccc(C)cc1O,47.902,8.6,7.0,25.0,0.5,20.0,150.220999999999,100,0.37,0.526,0.2981575116824355,0.3,10.62,-15.0,3.3,65.0,-0.0002398257617087477,0.003597386425631215,3.3,99.1,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,4-Hydroxybenzoic Acid ,OC(=O)c1ccc(O)cc1,47.902,8.6,7.0,25.0,0.5,20.0,138.121999999999,100,0.363,0.505,0.2218143011323027,0.3,4.54,-15.0,1.58,65.0,-0.9965446125969272,14.94816918895391,-0.4526018636087117,99.3,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
XLE,RO,Glucose,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,47.902,8.6,7.0,25.0,0.5,2000.0,180.156,100,0.401,0.481,0.2515616313767203,0.3,12.45,-15.0,-3.24,65.0,-3.548121303126307e-06,5.322181954689461e-05,-3.24,99.4,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
TS80,NF,Ethanol,CCO,22.5,5.0,7.5,20.0,96.0,0.002,46.069,200,0.239,0.323,0.1660514265336832,0.42,15.9,-32.7,-0.31,37.5,-3.981071689686035e-09,1.301810442527333e-07,-0.31,8.7,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,2-Ethoxyethanol,CCOCCO,22.5,5.0,7.5,20.0,96.0,0.002,90.122,200,0.275,0.507,0.2248910777536578,0.42,14.8,-32.7,-0.32,37.5,-5.011872085084068e-08,1.63888217182249e-06,-0.32,21.0,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,2-(1H)-Quinoline,C1=CC(=O)NC=C1 ,22.5,5.0,7.5,20.0,96.0,0.002,95.1009999999999,200,0.447,0.601,0.1826188954623013,0.42,12.02,-32.7,1.26,37.5,-3.019860522072228e-05,0.0009874943907176186,1.26,21.5,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,2-Methoxyethanol,COCCO,22.5,5.0,7.5,20.0,96.0,0.002,76.095,200,0.253,0.441,0.199477756295778,0.42,14.8,-32.7,-0.77,37.5,-5.011872085084068e-08,1.63888217182249e-06,-0.77,31.7,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,Bisphenol A,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,22.5,5.0,7.5,20.0,96.0,0.002,228.291,200,0.453,0.562,0.3381552020183159,0.42,9.6,-32.7,3.32,37.5,-0.007880683850330288,0.2576983619058004,3.32,37.5,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,N-(4-Methoxyphenyl)acetamide,COc1ccc(NC(C)=O)cc1,22.5,5.0,7.5,20.0,96.0,0.002,165.192,200,0.374,0.643,0.2884580071503136,0.42,14.53,-32.7,1.03,37.5,-9.332542137006399e-08,3.051741278801092e-06,1.03,38.3,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,22.5,5.0,7.5,20.0,96.0,0.002,249.096999999999,200,0.398,0.639,0.3121424816914341,0.42,12.13,-32.7,3.2,37.5,-2.344173862520751e-05,0.0007665448530442857,3.2,53.4,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,Glycerol,OCC(O)CO,22.5,5.0,7.5,20.0,96.0,0.002,92.094,200,0.301,0.438,0.1899123866414896,0.42,14.4,-32.7,-1.76,37.5,-1.258925253304866e-07,4.116685578306912e-06,-1.76,79.0,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,Methyl tert-butyl ether,COC(C)(C)C,22.5,5.0,7.5,20.0,96.0,0.002,88.1499999999999,200,0.337,0.388,0.254705251794037,0.42,-3.7,-32.7,0.94,37.5,-0.9999999999936904,32.69999999979368,1.330000000122125,89.6,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,Estrone,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,22.5,5.0,7.5,20.0,96.0,0.002,270.372,200,0.406,0.682,0.3667832440887863,0.42,10.25,-32.7,3.13,37.5,-0.001775122745809757,0.05804651378797906,3.13,90.0,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,22.5,5.0,7.5,20.0,96.0,0.002,290.832,200,0.425,0.452,0.300833238226254,0.42,14.0,-32.7,3.72,37.5,0.0,0.0,3.72,90.8,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
TS80,NF,Monomethyl phthalate,COC(=O)c1ccccc1C([O-])=O,22.5,5.0,7.5,20.0,96.0,0.002,179.150999999999,200,0.438,0.544,0.2795281600682279,0.42,3.32,-32.7,1.13,37.5,-0.9999339350200692,32.69783967515627,1.059576274961112,93.5,A Semi-Quantitative Method for Prediction of the Rejection of Uncharged Organic Micropollutants with Nanofiltration
