Name of Membranes,Type of Membranes,NAME of TrOCs,Pure water flux            (L·m-2·h-1),Pressure (bar),pH,Temperature (oC),Filtration duration (h),TrOC concentration (mg/L),Cross-flow velocity   (cm·s-1),MW (Da),MWCO (Da),Min projection (nm),Max projection (nm),Molecular radius (nm),Pore radius (nm),pKa1 ,pKa2,Zeta potential (mV),log Kow,Contact angle (°),ɸ,Molecular charge,Charge product,log D ,TrOC Rejection (%),Data group,Reference
NF90,NF,Benzylparaben,56.33802816901409,8.0,7.0,20.0,12.0,0.2,,228.246999999999,180,0.41100000000000003,0.693,0.3332865116555292,0.34,8.2,,-27.29,3.56,64.0,0.0003898869009631983,-0.059350943102767666,1.6196872372745295,3.56,33.0,1.0,A highly selective surface coating for enhanced membrane rejection ofendocrine disrupting compounds: Mechanistic insights andimplications
NF90,NF,Propylparaben,56.33802816901409,8.0,7.0,20.0,12.0,0.2,,180.202999999999,180,0.392,0.62,0.31476091059101124,0.34,8.5,,-27.29,3.04,64.0,0.005510481264662015,-0.0306534300317155,0.8365321055655159,3.04,49.0,1.0,A highly selective surface coating for enhanced membrane rejection ofendocrine disrupting compounds: Mechanistic insights andimplications
NF90,NF,Ethylparaben,56.33802816901409,8.0,7.0,20.0,12.0,0.2,,166.176,180,0.40199999999999997,0.576,0.2668263877613856,0.34,8.34,,-27.29,2.47,64.0,0.046318144706289796,-0.043710847735683976,1.1928690347068156,2.47,50.0,1.0,A highly selective surface coating for enhanced membrane rejection ofendocrine disrupting compounds: Mechanistic insights andimplications
NF90,NF,Bisphenol A,56.33802816901409,8.0,7.0,20.0,12.0,0.2,,228.291,180,0.453,0.562,0.33815520201831595,0.34,9.6,,-27.29,3.32,64.0,2.9440134889495247e-05,-0.002505592667285735,0.06837762389022771,3.32,97.0,1.0,A highly selective surface coating for enhanced membrane rejection ofendocrine disrupting compounds: Mechanistic insights andimplications
NF270,NF,Benzylparaben,134.0,10.0,7.0,20.0,12.0,0.2,22.4,228.246999999999,330,0.41100000000000003,0.693,0.3332865116555292,0.42,8.2,,-42.7,3.56,40.2,0.042626015084278185,-0.059350943102767666,2.5342852704881795,3.56,19.5489,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Ethylparaben,134.0,10.0,7.0,20.0,12.0,0.2,22.4,166.176,330,0.40199999999999997,0.576,0.2668263877613856,0.42,8.34,,-42.7,2.47,40.2,0.13300541658857937,-0.043710847735683976,1.8664531983137058,2.47,19.8496,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Propylparaben,134.0,10.0,7.0,20.0,12.0,0.2,22.4,180.202999999999,330,0.392,0.62,0.31476091059101124,0.42,8.5,,-42.7,3.04,40.2,0.06278495430631022,-0.0306534300317155,1.3089014623542519,3.04,21.203,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Methylparaben,134.0,10.0,7.0,20.0,12.0,0.2,22.4,152.149,330,0.339,0.5509999999999999,0.2754787664970557,0.42,8.5,,-42.7,1.96,40.2,0.11840355404315496,-0.0306534300317155,1.3089014623542519,1.96,21.5038,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Trimethoprim,134.0,10.0,7.0,20.0,12.0,0.2,22.4,290.323,330,0.497,0.6950000000000001,0.37984797029029826,0.42,,7.12,-42.7,0.91,40.2,0.009139373524993031,0.5686413918836677,-24.28098743343261,-0.5381900903289282,77.4436,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Sulfadiazine,134.0,10.0,7.0,20.0,12.0,0.2,22.4,250.283,330,0.453,0.612,0.3093115947296739,0.42,6.36,,-42.7,-0.09,40.2,0.06945534615242602,-0.8136122105055866,34.74124138858855,-0.09,81.6541,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Sulfamethoxazole,134.0,10.0,7.0,20.0,12.0,0.2,22.4,253.283,330,0.54,0.588,0.3153427582941809,0.42,1.6,5.7,-42.7,0.89,40.2,0.06209262041649797,-1.952265506856825,83.36173714278644,-0.22198049011598286,82.406,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Sulfamethazine,134.0,10.0,7.0,20.0,12.0,0.2,22.4,278.337,330,0.49000000000000005,0.704,0.33697261889209035,0.42,2.65,7.65,-42.7,0.89,40.2,0.039079059034229424,-0.9995563875055626,42.681057746487525,0.89,91.4286,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Norfloxacin,134.0,10.0,7.0,20.0,12.0,0.2,22.4,319.336,330,0.516,0.744,0.3854363846657497,0.42,6.34,8.75,-42.7,-1.03,40.2,0.006772355470374276,0.8359071041684609,-35.693233347993285,-3.1378030081271744,95.0376,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
NF270,NF,Ofloxacin,134.0,10.0,7.0,20.0,12.0,0.2,22.4,361.373,330,0.5269999999999999,0.82,0.39179594163575737,0.42,5.97,9.28,-42.7,-0.39,40.2,0.004509460930916122,0.8891019191364646,-37.964651947127045,-2.0247798084864157,95.188,2.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes 
SW30XLE,RO,Acetic acid,34.1,15.5,3.0,25.0,0.5,2000.0,21.0,60.052,96,0.275,0.327,0.1645091332997442,,4.76,,-15.0,2.14,55.0,,-0.017081171546793474,0.25621757320190214,2.0960716805656823,78.4,3.0,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes 
